TARİH,Unnamed: 0,LEVEL1,LEVEL2,LEVEL3,DEĞER,TARIH
30.06.2023,0.0,,,Finansal Durum Tablosu (Bilanço),,2023-06-30
30.06.2023,1.0,VARLIKLAR,,Varlıklar,,2023-06-30
30.06.2023,2.0,VARLIKLAR,DÖNEN VARLIKLAR,DÖNEN VARLIKLAR,,2023-06-30
30.06.2023,3.0,VARLIKLAR,DÖNEN VARLIKLAR,Nakit ve Nakit Benzerleri,25988462.0,2023-06-30
30.06.2023,4.0,VARLIKLAR,DÖNEN VARLIKLAR,Gayrimenkul Projeleri Kapsamında Açılan Nakit Hesapları,,2023-06-30
30.06.2023,5.0,VARLIKLAR,DÖNEN VARLIKLAR,Finansal Yatırımlar,,2023-06-30
30.06.2023,6.0,VARLIKLAR,DÖNEN VARLIKLAR,Kullanımı Kısıtlı Banka Bakiyeleri,,2023-06-30
30.06.2023,7.0,VARLIKLAR,DÖNEN VARLIKLAR,Vadeli Mevduatlar,,2023-06-30
30.06.2023,8.0,VARLIKLAR,DÖNEN VARLIKLAR,Satılmaya Hazır Finansal Varlıklar,,2023-06-30
30.06.2023,9.0,VARLIKLAR,DÖNEN VARLIKLAR,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,2023-06-30
30.06.2023,10.0,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,2023-06-30
30.06.2023,11.0,VARLIKLAR,DÖNEN VARLIKLAR,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,2023-06-30
30.06.2023,12.0,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,2023-06-30
30.06.2023,13.0,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,2023-06-30
30.06.2023,14.0,VARLIKLAR,DÖNEN VARLIKLAR,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,2023-06-30
30.06.2023,15.0,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,2023-06-30
30.06.2023,16.0,VARLIKLAR,DÖNEN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,2023-06-30
30.06.2023,17.0,VARLIKLAR,DÖNEN VARLIKLAR,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,2023-06-30
30.06.2023,18.0,VARLIKLAR,DÖNEN VARLIKLAR,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,2023-06-30
30.06.2023,19.0,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Finansal Yatırımlar,,2023-06-30
30.06.2023,20.0,VARLIKLAR,DÖNEN VARLIKLAR,Teminata Verilen Finansal Varlıklar,,2023-06-30
30.06.2023,21.0,VARLIKLAR,DÖNEN VARLIKLAR,Ticari Alacaklar,30056044.0,2023-06-30
30.06.2023,22.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Ticari Alacaklar,17872467.0,2023-06-30
30.06.2023,23.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Ticari Alacaklar,12183577.0,2023-06-30
30.06.2023,24.0,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden Alacaklar,,2023-06-30
30.06.2023,25.0,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,2023-06-30
30.06.2023,26.0,VARLIKLAR,DÖNEN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,2023-06-30
30.06.2023,27.0,VARLIKLAR,DÖNEN VARLIKLAR,Türkiye Cumhuriyet Merkez Bankası Hesabı,,2023-06-30
30.06.2023,28.0,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Alacaklar,709277.0,2023-06-30
30.06.2023,29.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Diğer Alacaklar,239786.0,2023-06-30
30.06.2023,30.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Alacaklar,469491.0,2023-06-30
30.06.2023,31.0,VARLIKLAR,DÖNEN VARLIKLAR,Müşteri Sözleşmelerinden Doğan Varlıklar,,2023-06-30
30.06.2023,32.0,VARLIKLAR,DÖNEN VARLIKLAR,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,2023-06-30
30.06.2023,33.0,VARLIKLAR,DÖNEN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,2023-06-30
30.06.2023,34.0,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Sözleşme Varlıkları,,2023-06-30
30.06.2023,35.0,VARLIKLAR,DÖNEN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,2023-06-30
30.06.2023,36.0,VARLIKLAR,DÖNEN VARLIKLAR,Türev Araçlar,555616.0,2023-06-30
30.06.2023,37.0,VARLIKLAR,DÖNEN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,,2023-06-30
30.06.2023,38.0,VARLIKLAR,DÖNEN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,,2023-06-30
30.06.2023,39.0,VARLIKLAR,DÖNEN VARLIKLAR,Stoklar,20250979.0,2023-06-30
30.06.2023,40.0,VARLIKLAR,DÖNEN VARLIKLAR,Proje Halindeki Stoklar,,2023-06-30
30.06.2023,41.0,VARLIKLAR,DÖNEN VARLIKLAR,Canlı Varlıklar,,2023-06-30
30.06.2023,42.0,VARLIKLAR,DÖNEN VARLIKLAR,Peşin Ödenmiş Giderler,1960857.0,2023-06-30
30.06.2023,43.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflara Peşin Ödenmiş Giderler,,2023-06-30
30.06.2023,44.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflara Peşin Ödenmiş Giderler,,2023-06-30
30.06.2023,45.0,VARLIKLAR,DÖNEN VARLIKLAR,Ertelenmiş Sigortacılık Üretim Giderleri,,2023-06-30
30.06.2023,46.0,VARLIKLAR,DÖNEN VARLIKLAR,Cari Dönem Vergisiyle İlgili Varlıklar,0.0,2023-06-30
30.06.2023,47.0,VARLIKLAR,DÖNEN VARLIKLAR,Nakit Dışı Serbest Kullanılabilir Teminatlar,,2023-06-30
30.06.2023,48.0,VARLIKLAR,DÖNEN VARLIKLAR,Diğer Dönen Varlıklar,3170456.0,2023-06-30
30.06.2023,49.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Taraflardan Diğer Dönen Varlıklar,,2023-06-30
30.06.2023,50.0,VARLIKLAR,DÖNEN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Dönen Varlıklar,,2023-06-30
30.06.2023,51.0,VARLIKLAR,DÖNEN VARLIKLAR,ARA TOPLAM,82691691.0,2023-06-30
30.06.2023,52.0,VARLIKLAR,DÖNEN VARLIKLAR,Satış Amaçlı Sınıflandırılan Duran Varlıklar,,2023-06-30
30.06.2023,53.0,VARLIKLAR,DÖNEN VARLIKLAR,Ortaklara Dağıtılmak Üzere Elde Tutulan Duran Varlıklar,,2023-06-30
30.06.2023,54.0,VARLIKLAR,DÖNEN VARLIKLAR,TOPLAM DÖNEN VARLIKLAR,82691691.0,2023-06-30
30.06.2023,55.0,VARLIKLAR,DURAN VARLIKLAR,DURAN VARLIKLAR,,2023-06-30
30.06.2023,56.0,VARLIKLAR,DURAN VARLIKLAR,Finansal Yatırımlar,137857.0,2023-06-30
30.06.2023,57.0,VARLIKLAR,DURAN VARLIKLAR,Kullanımı Kısıtlı Banka Bakiyeleri,,2023-06-30
30.06.2023,58.0,VARLIKLAR,DURAN VARLIKLAR,Vadeli Mevduatlar,,2023-06-30
30.06.2023,59.0,VARLIKLAR,DURAN VARLIKLAR,Satılmaya Hazır Finansal Yatırımlar,,2023-06-30
30.06.2023,60.0,VARLIKLAR,DURAN VARLIKLAR,Vadeye Kadar Elde Tutulacak Finansal Yatırımlar,,2023-06-30
30.06.2023,61.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Finansal Varlıklar,,2023-06-30
30.06.2023,62.0,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Elde Tutulan Finansal Varlıklar,,2023-06-30
30.06.2023,63.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak Ölçülen Diğer Finansal Varlıklar,,2023-06-30
30.06.2023,64.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan Olarak Sınıflandırılan Finansal Varlıklar,,2023-06-30
30.06.2023,65.0,VARLIKLAR,DURAN VARLIKLAR,Yatırım Riski Hayat Poliçesi Sahiplerine Ait Finansal Yatırımlar,,2023-06-30
30.06.2023,66.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıklar,,2023-06-30
30.06.2023,67.0,VARLIKLAR,DURAN VARLIKLAR,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılarak Ölçülen Finansal Varlıklar,,2023-06-30
30.06.2023,68.0,VARLIKLAR,DURAN VARLIKLAR,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlar,,2023-06-30
30.06.2023,69.0,VARLIKLAR,DURAN VARLIKLAR,İtfa Edilmiş Maliyetiyle Ölçülen Finansal Varlıklar,,2023-06-30
30.06.2023,70.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Finansal Yatırımlar,,2023-06-30
30.06.2023,71.0,VARLIKLAR,DURAN VARLIKLAR,"İştirakler, İş Ortaklıkları ve Bağlı Ortaklıklardaki Yatırımlar",60334.0,2023-06-30
30.06.2023,72.0,VARLIKLAR,DURAN VARLIKLAR,Ticari Alacaklar,17897.0,2023-06-30
30.06.2023,73.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Ticari Alacaklar,,2023-06-30
30.06.2023,74.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Ticari Alacaklar,17897.0,2023-06-30
30.06.2023,75.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden Alacaklar,,2023-06-30
30.06.2023,76.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Taraflardan Alacaklar,,2023-06-30
30.06.2023,77.0,VARLIKLAR,DURAN VARLIKLAR,Finans Sektörü Faaliyetlerinden İlişkili Olmayan Taraflardan Alacaklar,,2023-06-30
30.06.2023,78.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Alacaklar,1498706.0,2023-06-30
30.06.2023,79.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Taraflardan Diğer Alacaklar,1498706.0,2023-06-30
30.06.2023,80.0,VARLIKLAR,DURAN VARLIKLAR,İlişkili Olmayan Taraflardan Diğer Alacaklar,,2023-06-30
30.06.2023,81.0,VARLIKLAR,DURAN VARLIKLAR,Müşteri Sözleşmelerinden Doğan Varlıklar,,2023-06-30
30.06.2023,82.0,VARLIKLAR,DURAN VARLIKLAR,Devam Eden İnşaat ve Taahhüt İşlerinden Doğan Sözleşme Varlıkları,,2023-06-30
30.06.2023,83.0,VARLIKLAR,DURAN VARLIKLAR,Mal ve Hizmet Satışlarından Doğan Sözleşme Varlıkları,,2023-06-30
30.06.2023,84.0,VARLIKLAR,DURAN VARLIKLAR,Diğer Sözleşme Varlıkları,,2023-06-30
30.06.2023,85.0,VARLIKLAR,DURAN VARLIKLAR,İmtiyaz Sözleşmelerine İlişkin Finansal Varlıklar,,2023-06-30
30.06.2023,86.0,VARLIKLAR,DURAN VARLIKLAR,Türev Araçlar,483829.0,2023-06-30
30.06.2023,87.0,VARLIKLAR,DURAN VARLIKLAR,Alım Satım Amaçlı Türev Araçlar,,2023-06-30
30.06.2023,88.0,VARLIKLAR,DURAN VARLIKLAR,Riskten Korunma Amaçlı Türev Araçlar,,2023-06-30
30.06.2023,89.0,VARLIKLAR,DURAN VARLIKLAR,Stoklar,,2023-06-30
30.06.2023,90.0,VARLIKLAR,DURAN VARLIKLAR,Özkaynak Yöntemiyle Değerlenen Yatırımlar,,2023-06-30
30.06.2023,91.0,VARLIKLAR,DURAN VARLIKLAR,Canlı Varlıklar,,2023-06-30
30.06.2023,92.0,VARLIKLAR,DURAN VARLIKLAR,Yatırım Amaçlı Gayrimenkuller,,2023-06-30
30.06.2023,93.0,VARLIKLAR,DURAN VARLIKLAR,Proje Halindeki Yatırım Amaçlı Gayrimenkuller,,2023-06-30
30.06.2023,94.0,VARLIKLAR,DURAN VARLIKLAR,Maddi Duran Varlıklar,26507627.0,2023-06-30
30.06.2023,95.0,VARLIKLAR,DURAN VARLIKLAR,Arazi ve Arsalar,,2023-06-30
