,0,1,2,3,4,5
0,,,,Cari Dönem 01.01.2023 - 31.03.2023,Önceki Dönem 01.01.2022 - 31.03.2022,
1,,Kar veya Zarar Tablosu,,,,
2,Kar veya Zarar Tablosu,,,,,
3,,KAR VEYA ZARAR KISMI,,,,
4,KAR VEYA ZARAR KISMI,,,,,
5,,Hasılat,21,28.364.770,16.974.389,
6,Hasılat,,,,,
7,,Finans Sektörü Faaliyetleri Hasılatı,,,,
8,Finans Sektörü Faaliyetleri Hasılatı,,,,,
9,,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,
10,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,,
11,,Kambiyo Gelirleri,,,,
12,Kambiyo Gelirleri,,,,,
13,,Faiz Gelirleri,,,,
14,Faiz Gelirleri,,,,,
15,,Kar Payı Gelirleri,,,,
16,Kar Payı Gelirleri,,,,,
17,,Türev Finansal İşlemlerden Kazanç,,,,
18,Türev Finansal İşlemlerden Kazanç,,,,,
19,,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,
20,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,,
21,,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,
22,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,,
23,,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,
24,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,,
25,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,
26,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,,
27,,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,
28,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,,
29,,TOPLAM HASILAT,,,,
30,TOPLAM HASILAT,,,,,
31,,Satışların Maliyeti,21,-18.788.837,-10.326.001,
32,Satışların Maliyeti,,,,,
33,,Finans Sektörü Faaliyetleri Maliyeti,,,,
34,Finans Sektörü Faaliyetleri Maliyeti,,,,,
35,,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,
36,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,,
37,,Kambiyo Giderleri,,,,
38,Kambiyo Giderleri,,,,,
39,,Faiz Giderleri,,,,
40,Faiz Giderleri,,,,,
41,,Kar Payı Giderleri,,,,
42,Kar Payı Giderleri,,,,,
43,,Karşılık Giderleri,,,,
44,Karşılık Giderleri,,,,,
45,,Türev Finansal İşlemlerden Zarar,,,,
46,Türev Finansal İşlemlerden Zarar,,,,,
47,,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,
48,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,,
49,,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,
50,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,,
51,,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,
52,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,,
53,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,
54,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,,
55,,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,
56,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,,
57,,TOPLAM MALİYETLER,,,,
58,TOPLAM MALİYETLER,,,,,
59,,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,9.575.933,6.648.388,
60,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,,,,
61,,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,
62,FİNANS SEKTÖRÜ FAALİYETLERİNDEN BRÜT KAR (ZARAR),,,,,
63,,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,
64,Canlı Varlıklar Gerçeğe Uygun Değer Farkları,,,,,
65,,BRÜT KAR (ZARAR),,9.575.933,6.648.388,
66,BRÜT KAR (ZARAR),,,,,
67,,Genel Yönetim Giderleri,22,-1.618.960,-866.442,
68,Genel Yönetim Giderleri,,,,,
69,,Pazarlama Giderleri,22,-3.594.446,-2.352.577,
70,Pazarlama Giderleri,,,,,
71,,Araştırma ve Geliştirme Giderleri,22,-79.878,-59.710,
72,Araştırma ve Geliştirme Giderleri,,,,,
73,,Esas Faaliyetlerden Diğer Gelirler,23,1.389.844,1.404.028,
74,Esas Faaliyetlerden Diğer Gelirler,,,,,
75,,Esas Faaliyetlerden Diğer Giderler,23,-1.230.056,-1.098.855,
76,Esas Faaliyetlerden Diğer Giderler,,,,,
77,,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,13,152.985,90.892,
78,Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (Zararlarından) Paylar,,,,,
79,,Diğer Kazançlar (Kayıplar),,,,
80,Diğer Kazançlar (Kayıplar),,,,,
81,,ESAS FAALİYET KARI (ZARARI),,4.595.422,3.765.724,
82,ESAS FAALİYET KARI (ZARARI),,,,,
83,,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,
84,Ödenecek Kar Paylarının Defter Değeri ile Dağıtılan Nakit Dışı Varlıkların Değeri Arasındaki Fark,,,,,
85,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,
86,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Finansal Tablo Dışı Bırakılmasından Kaynaklanan Kazançlar (Kayıplar),,,,,
87,,Yatırım Faaliyetlerinden Gelirler,24,176.668,608.396,
88,Yatırım Faaliyetlerinden Gelirler,,,,,
89,,Yatırım Faaliyetlerinden Giderler,24,-4.542,-197.014,
90,Yatırım Faaliyetlerinden Giderler,,,,,
91,,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,24,31.812,-20.410,
92,TFRS 9 Uyarınca Belirlenen Değer Düşüklüğü Kazançları (Zararları) ve Değer Düşüklüğü Zararlarının İptalleri,,,,,
93,,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,
94,"İştirakler, Müşterek Kontrol Edilen İşletmeler ve Bağlı Ortaklıklardan Diğer Gelirler (Giderler)",,,,,
95,,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,
96,İtfa Edilmiş Maliyetinden Ölçülen Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,
97,,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,
98,Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire Yansıtılan Finansal Varlıkların Gerçeğe Uygun Değer Farkı Kar veya Zarara Yansıtılan Olarak Sınıflandırılmasından Kazançlar (Kayıplar),,,,,
99,,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,
100,Risk Pozisyonlarını Netleştiren Kalemler Grubuna Yönelik Finansal Riskten Korunma Kazançları (Kayıpları),,,,,
101,,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,4.799.360,4.156.696,
102,FİNANSMAN GELİRİ (GİDERİ) ÖNCESİ FAALİYET KARI (ZARARI),,,,,
103,,Finansman Gelirleri,25,1.630.853,2.705.927,
104,Finansman Gelirleri,,,,,
105,,Finansman Giderleri,25,-2.269.469,-3.221.902,
106,Finansman Giderleri,,,,,
107,,Net Parasal Pozisyon Kazançları (Kayıpları),,,,
108,Net Parasal Pozisyon Kazançları (Kayıpları),,,,,
109,,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,4.160.744,3.640.721,
110,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),,,,,
111,,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,-1.424.710,62.173,
112,Sürdürülen Faaliyetler Vergi (Gideri) Geliri,,,,,
113,,Dönem Vergi (Gideri) Geliri,26,-1.192.345,-563.246,
114,Dönem Vergi (Gideri) Geliri,,,,,
115,,Ertelenmiş Vergi (Gideri) Geliri,26,-232.365,625.419,
116,Ertelenmiş Vergi (Gideri) Geliri,,,,,
117,,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,2.736.034,3.702.894,
118,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI),,,,,
119,,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,
120,DURDURULAN FAALİYETLER DÖNEM KARI (ZARARI),,,,,
121,,DÖNEM KARI (ZARARI),,2.736.034,3.702.894,
122,DÖNEM KARI (ZARARI),,,,,
123,,Dönem Karının (Zararının) Dağılımı,,,,
124,Dönem Karının (Zararının) Dağılımı,,,,,
125,,Kontrol Gücü Olmayan Paylar,,372.247,132.723,
126,Kontrol Gücü Olmayan Paylar,,,,,
127,,Ana Ortaklık Payları,,2.363.787,3.570.171,
128,Ana Ortaklık Payları,,,,,
129,,Pay Başına Kazanç,,,,
130,Pay Başına Kazanç,,,,,
131,,Pay Başına Kazanç,,,,
132,Pay Başına Kazanç,,,,,
133,,Pay Başına Kazanç (Zarar),,,,
134,Pay Başına Kazanç (Zarar),,,,,
135,,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,
136,Sürdürülen Faaliyetlerden Pay Başına Kazanç (Zarar),,,,,
137,,,Pay Başına Kazanç,27,088770000,120100000.0
138,,Durdurulan Faaliyetlerden Pay Başına Kazanç (Zarar),,,,
