,0,1,2,3,4,5,6
0,,,,Cari Dönem 01.01.2022 - 30.09.2022,Önceki Dönem 01.01.2021 - 30.09.2021,Cari Dönem 3 Aylık 01.07.2022 - 30.09.2022,Önceki Dönem 3 Aylık 01.07.2021 - 30.09.2021
1,,Diğer Kapsamlı Gelir Tablosu,,,,,
2,Diğer Kapsamlı Gelir Tablosu,,,,,,
3,,DÖNEM KARI (ZARARI),,14.727.114,4.152.078,5.173.382,1.387.456
4,DÖNEM KARI (ZARARI),,,,,,
5,,DİĞER KAPSAMLI GELİRLER,,,,,
6,DİĞER KAPSAMLI GELİRLER,,,,,,
7,,Kar veya Zararda Yeniden Sınıflandırılmayacaklar,,1.487.304,136.852,503.450,10.511
8,Kar veya Zararda Yeniden Sınıflandırılmayacaklar,,,,,,
9,,Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar),,,,,
10,Özkaynağa Dayalı Finansal Araçlara Yatırımlardan Kaynaklanan Kazançlar (Kayıplar),,,,,,
11,,Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,1.233.578,194.548,117.419,12.267
12,Maddi Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,,
13,,Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,
14,Maddi Olmayan Duran Varlıklar Yeniden Değerleme Artışları (Azalışları),,,,,,
15,,Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları),,,,,
16,Kullanım Hakkı Varlıkları Yeniden Değerleme Artışları (Azalışları),,,,,,
17,,Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),19.0,446.228,51,406.720,-2
18,Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,,
19,,Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler,,,,,
20,Kredi Riskindeki Değişikliğe Bağlı Olarak Finansal Yükümlülüğün Gerçeğe Uygun Değerindeki Değişiklikler,,,,,,
21,,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Finansal Riskten Korunma Kazançları (Kayıpları),,,,,
22,Özkaynağa Dayalı Finansal Araçlara Yapılan Yatırımlara İlişkin Finansal Riskten Korunma Kazançları (Kayıpları),,,,,,
23,,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,,2.295,982,578,-38
24,Özkaynak Yöntemiyle Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,,,,,,
25,,Özkaynak Yöntemiyle Değerlenen Yatırımların Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,
26,Özkaynak Yöntemiyle Değerlenen Yatırımların Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),,,,,,
27,,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,
28,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,,
29,,Özkaynak Yöntemiyle Değerlenen Yatırımların Maddi Olmayan Duran Varlık Yeniden Değerleme Artışları (Azalışları),,,,,
