,0,1,2,3,4,5,6,7
0,,,,Cari Dönem 01.01.2023 - 30.06.2023,Önceki Dönem 01.01.2022 - 30.06.2022,Cari Dönem 3 Aylık 01.04.2023 - 30.06.2023,Önceki Dönem 3 Aylık 01.04.2022 - 30.06.2022,
1,,Kar veya Zarar Tablosu,,,,,,
2,Kar veya Zarar Tablosu,,,,,,,
3,,KAR VEYA ZARAR KISMI,,,,,,
4,KAR VEYA ZARAR KISMI,,,,,,,
5,,Hasılat,21,58.434.032,40.232.477,30.069.262,23.258.088,
6,Hasılat,,,,,,,
7,,Finans Sektörü Faaliyetleri Hasılatı,,,,,,
8,Finans Sektörü Faaliyetleri Hasılatı,,,,,,,
9,,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,,,
10,"Ücret, Prim, Komisyon ve Diğer Hizmet Gelirleri",,,,,,,
11,,Kambiyo Gelirleri,,,,,,
12,Kambiyo Gelirleri,,,,,,,
13,,Faiz Gelirleri,,,,,,
14,Faiz Gelirleri,,,,,,,
15,,Kar Payı Gelirleri,,,,,,
16,Kar Payı Gelirleri,,,,,,,
17,,Türev Finansal İşlemlerden Kazanç,,,,,,
18,Türev Finansal İşlemlerden Kazanç,,,,,,,
19,,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,,,
20,Portföy İşletmeciliği Faaliyetinden Elde Edilen Gelir,,,,,,,
21,,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,,,
22,Sigortacılık Hizmetlerinden Elde Edilen Gelir,,,,,,,
23,,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,,,
24,Emeklilik Hizmetlerinden Elde Edilen Gelir,,,,,,,
25,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,,,
26,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Karlar,,,,,,,
27,,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,,,
28,Finans Sektörü Faaliyetlerinden Diğer Gelirler,,,,,,,
29,,TOPLAM HASILAT,,,,,,
30,TOPLAM HASILAT,,,,,,,
31,,Satışların Maliyeti,21,-39.111.516,-24.944.796,-20.322.679,-14.618.795,
32,Satışların Maliyeti,,,,,,,
33,,Finans Sektörü Faaliyetleri Maliyeti,,,,,,
34,Finans Sektörü Faaliyetleri Maliyeti,,,,,,,
35,,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,,,
36,"Ücret, Prim, Komisyon ve Diğer Hizmet Giderleri",,,,,,,
37,,Kambiyo Giderleri,,,,,,
38,Kambiyo Giderleri,,,,,,,
39,,Faiz Giderleri,,,,,,
40,Faiz Giderleri,,,,,,,
41,,Kar Payı Giderleri,,,,,,
42,Kar Payı Giderleri,,,,,,,
43,,Karşılık Giderleri,,,,,,
44,Karşılık Giderleri,,,,,,,
45,,Türev Finansal İşlemlerden Zarar,,,,,,
46,Türev Finansal İşlemlerden Zarar,,,,,,,
47,,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,,,
48,Portföy İşletmeciliği Faaliyetinden Kaynaklanan Giderler,,,,,,,
49,,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,,,
50,Sigortacılık Hizmetlerinden Kaynaklanan Giderler,,,,,,,
51,,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,,,
52,Emeklilik Hizmetlerinden Kaynaklanan Giderler,,,,,,,
53,,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,,,
54,Finansal Varlık ve Yükümlülüklere İlişkin Gerçekleşmemiş Zararlar,,,,,,,
55,,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,,,
56,Finans Sektörü Faaliyetlerinden Diğer Giderler,,,,,,,
57,,TOPLAM MALİYETLER,,,,,,
58,TOPLAM MALİYETLER,,,,,,,
59,,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,19.322.516,15.287.681,9.746.583,8.639.293,
60,TİCARİ FAALİYETLERDEN BRÜT KAR (ZARAR),,,,,,,
