,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,,,,,,,,,,,,,
1,,,,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,Özkaynaklar,
2,,,,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,Ana Ortaklığa Ait Özkaynaklar,,,
3,,,,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler veya Giderler,,Birikmiş Karlar,Birikmiş Karlar,,,,,,
4,,,,Yeniden Değerleme ve Ölçüm Kazanç / Kayıpları,Yeniden Değerleme ve Ölçüm Kazanç / Kayıpları,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
7,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
8,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
9,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
10,Özkaynaklar Değişim Tablosu,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
11,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2021 - 31.12.2021,,192.622.306,,986.841,,,,,,12.775.677,126.688.593,225.585.436,,558.658.853,,558.658.853
12,Dönem Başı Bakiyeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
13,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
14,Muhasebe Politikalarındaki Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
15,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
16,Muhasebe Politikalarındaki Zorunlu Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
17,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
18,Muhasebe Politikalarındaki Gönüllü Değişikliklere İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
19,Hatalara İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
20,Hatalara İlişkin Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
21,Diğer Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
22,Diğer Düzeltmeler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
23,Düzeltmelerden Sonraki Tutar,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
24,Düzeltmelerden Sonraki Tutar,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
25,Transferler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,17.809.411,207.776.025,-225.585.436,,0,,0
26,Transferler,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
27,Toplam Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
28,Toplam Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
29,Dönem Karı (Zararı),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,517.681.157,,517.681.157,,517.681.157
30,Dönem Karı (Zararı),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
31,Diğer Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,23.141.145,325.619,,,,,,,,,,23.466.764,,23.466.764
32,Diğer Kapsamlı Gelir (Gider),Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
33,Sermaye Arttırımı,Önceki Dönem 01.01.2021 - 31.12.2021,,642.072.635,,,,,,,,-3.397.700,-633.902.202,,,4.772.733,,4.772.733
34,Sermaye Arttırımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
35,Sermaye Azaltımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
36,Sermaye Azaltımı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
37,Sermaye Avansı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
38,Sermaye Avansı,Önceki Dönem 01.01.2021 - 31.12.2021,,,,,,,,,,,,,,,,
39,Birleşme/Bölünme/Tasfiye Etkisi,Önceki Dönem 01.01.2021 - 31.12.2021,,15.305.059,,,,,,,,,-21.309.227,,,-6.004.168,,-6.004.168
40,Birleşme/Bölünme/Tasfiye Etkisi,,,,,,,,,,,,,,,,,
41,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
42,Ortak Kontrole Tabi Teşebbüs veya İşletmeleri İçeren Birleşmelerin Etkisi,,,,,,,,,,,,,,,,,
43,Dönemde Ödenen Kar Payı Avansları,,,,,,,,,,,,,,,,,
