,0,1,2,3,4
0,,,,Cari Dönem 01.01.2023 - 30.06.2023,Önceki Dönem 01.01.2022 - 30.06.2022
1,,Nakit Akış Tablosu (Dolaylı Yöntem),,,
2,Nakit Akış Tablosu (Dolaylı Yöntem),,,,
3,,İŞLETME FAALİYETLERİNDEN NAKİT AKIŞLARI,,10.349.662,4.500.158
4,İŞLETME FAALİYETLERİNDEN NAKİT AKIŞLARI,,,,
5,,Dönem Karı (Zararı),,9.081.431,9.240.728
6,Dönem Karı (Zararı),,,,
7,,Sürdürülen Faaliyetlerden Dönem Karı (Zararı),,,
8,Sürdürülen Faaliyetlerden Dönem Karı (Zararı),,,,
9,,Durdurulan Faaliyetlerden Dönem Karı (Zararı),,,
10,Durdurulan Faaliyetlerden Dönem Karı (Zararı),,,,
11,,Dönem Net Karı (Zararı) Mutabakatı İle İlgili Düzeltmeler,,8.965.213,4.535.853
12,Dönem Net Karı (Zararı) Mutabakatı İle İlgili Düzeltmeler,,,,
13,,Amortisman ve İtfa Gideri İle İlgili Düzeltmeler,"14, 15, 16",2.960.505,2.196.659
14,Amortisman ve İtfa Gideri İle İlgili Düzeltmeler,,,,
15,,Değer Düşüklüğü (İptali) İle İlgili Düzeltmeler,"5, 6, 8, 10",-113.385,75.286
16,Değer Düşüklüğü (İptali) İle İlgili Düzeltmeler,,,,
17,,Alacaklarda Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
18,Alacaklarda Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
19,,Diğer Finansal Varlıklar veya Yatırımlar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
20,Diğer Finansal Varlıklar veya Yatırımlar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
21,,Stok Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
22,Stok Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
23,,Canlı Varlıklar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
24,Canlı Varlıklar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
25,,Maddi Duran Varlık Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
26,Maddi Duran Varlık Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
27,,Şerefiye Değer Düşüklüğü ile İlgili Düzeltmeler,,,
28,Şerefiye Değer Düşüklüğü ile İlgili Düzeltmeler,,,,
29,,Diğer Maddi Olmayan Duran Varlık Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
30,Diğer Maddi Olmayan Duran Varlık Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
31,,Yatırım Amaçlı Gayrimenkul Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
32,Yatırım Amaçlı Gayrimenkul Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
33,,Satış Amaçlı Duran Varlıklar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,
34,Satış Amaçlı Duran Varlıklar Değer Düşüklüğü (İptali) ile İlgili Düzeltmeler,,,,
35,,Diğer Değer Düşüklükleri (İptalleri) ile İlgili Düzeltmeler,,,
36,Diğer Değer Düşüklükleri (İptalleri) ile İlgili Düzeltmeler,,,,
37,,Karşılıklar İle İlgili Düzeltmeler,"18, 19",1.206.558,905.855
38,Karşılıklar İle İlgili Düzeltmeler,,,,
39,,Çalışanlara Sağlanan Faydalara İlişkin Karşılıklar (İptali) ile İlgili Düzeltmeler,,,
40,Çalışanlara Sağlanan Faydalara İlişkin Karşılıklar (İptali) ile İlgili Düzeltmeler,,,,
41,,Dava ve/veya Ceza Karşılıkları (İptali) ile İlgili Düzeltmeler,,,
42,Dava ve/veya Ceza Karşılıkları (İptali) ile İlgili Düzeltmeler,,,,
43,,Yeniden Yapılanma Karşılıkları (İptali) ile İlgili Düzeltmeler,,,
44,Yeniden Yapılanma Karşılıkları (İptali) ile İlgili Düzeltmeler,,,,
45,,Genel Karşılıklar (İptali) ile İlgili Düzeltmeler,,,
46,Genel Karşılıklar (İptali) ile İlgili Düzeltmeler,,,,
47,,Muhtemel Riskler için Ayrılan Serbest Karşılıklar (İptali) ile İlgili Düzeltmeler,,,
