"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2023","7,113.74","7,116.58","7,203.35","7,098.89","3.43B","0.98%"
"09/01/2023","7,044.60","6,981.14","7,049.80","6,945.61","3.10B","1.47%"
"08/31/2023","6,942.27","7,018.17","7,046.44","6,926.43","3.24B","-0.42%"
"08/29/2023","6,971.35","7,027.57","7,070.40","6,932.58","3.37B","-0.61%"
"08/28/2023","7,014.38","6,911.40","7,073.77","6,911.40","3.90B","3.05%"
"08/25/2023","6,806.47","6,659.58","6,836.02","6,530.57","3.70B","2.95%"
"08/24/2023","6,611.44","6,736.29","6,954.38","6,605.80","6.21B","-1.29%"
"08/23/2023","6,697.77","6,894.21","6,906.20","6,697.77","4.10B","-2.27%"
"08/22/2023","6,853.52","6,951.35","6,983.91","6,783.17","3.35B","-0.65%"
"08/21/2023","6,898.15","6,579.53","6,921.95","6,555.73","3.98B","3.85%"
"08/18/2023","6,642.22","6,907.85","6,917.84","6,565.23","3.30B","-3.31%"
"08/17/2023","6,869.83","6,799.64","6,909.90","6,765.23","2.95B","1.19%"
"08/16/2023","6,788.80","6,824.12","6,863.78","6,734.31","3.36B","-0.63%"
"08/15/2023","6,832.03","6,897.88","6,929.83","6,700.33","3.23B","-0.62%"
"08/14/2023","6,874.83","6,932.40","6,999.91","6,825.08","3.47B","0.13%"
"08/11/2023","6,865.87","6,641.48","6,873.70","6,589.72","3.72B","3.50%"
"08/10/2023","6,633.59","6,820.94","6,930.67","6,599.25","5.01B","-2.08%"
"08/09/2023","6,774.61","6,606.88","6,817.18","6,554.11","4.22B","2.61%"
"08/08/2023","6,602.56","6,681.84","6,683.56","6,553.54","2.97B","-0.82%"
"08/07/2023","6,657.34","6,619.13","6,674.56","6,589.52","2.69B","0.98%"
"08/04/2023","6,592.45","6,461.13","6,619.09","6,417.05","2.99B","2.50%"
"08/03/2023","6,431.67","6,513.28","6,573.07","6,416.79","3.34B","-0.82%"
"08/02/2023","6,484.91","6,404.83","6,553.13","6,402.66","3.64B","1.42%"
"08/01/2023","6,394.24","6,433.97","6,516.93","6,357.82","4.10B","-0.73%"
"07/31/2023","6,441.54","6,380.48","6,481.72","6,357.48","4.59B","2.00%"
"07/28/2023","6,315.24","6,178.94","6,344.63","6,166.96","4.62B","3.25%"
"07/27/2023","6,116.52","6,062.70","6,116.52","6,033.09","3.79B","1.74%"
"07/26/2023","6,011.91","5,886.62","6,011.99","5,865.96","3.35B","2.08%"
"07/25/2023","5,889.19","5,990.83","5,995.50","5,834.56","3.15B","-1.30%"
"07/24/2023","5,966.85","6,003.16","6,068.78","5,905.30","3.00B","-0.04%"
"07/21/2023","5,969.52","5,985.42","6,015.29","5,911.85","2.55B","-0.20%"
"07/20/2023","5,981.67","5,945.07","6,001.90","5,840.12","3.91B","1.57%"
"07/19/2023","5,889.05","5,705.61","5,891.13","5,647.51","2.96B","3.31%"
"07/18/2023","5,700.33","5,955.37","5,979.85","5,700.09","3.68B","-3.80%"
"07/17/2023","5,925.64","5,838.77","5,930.37","5,812.97","3.03B","2.47%"
"07/14/2023","5,782.98","5,770.59","5,792.07","5,717.62","2.35B","0.99%"
"07/13/2023","5,726.14","5,709.43","5,785.29","5,678.50","3.79B","0.51%"
"07/12/2023","5,697.06","5,708.31","5,759.94","5,647.62","4.24B","-0.25%"
"07/11/2023","5,711.09","5,709.21","5,734.30","5,594.17","4.03B","1.71%"
"07/10/2023","5,615.27","5,623.16","5,641.95","5,584.95","2.80B","1.14%"
"07/07/2023","5,552.24","5,512.90","5,593.74","5,494.19","2.72B","0.65%"
"07/06/2023","5,516.47","5,516.52","5,578.89","5,501.15","2.89B","0.44%"
"07/05/2023","5,492.07","5,417.40","5,505.63","5,289.09","2.97B","1.76%"
