"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2023","893.20","900.70","900.80","875.30","1.46M","-0.76%"
"09/04/2023","900.00","923.00","924.70","900.00","1.51M","-2.26%"
"09/01/2023","920.80","864.20","924.00","857.20","2.39M","6.73%"
"08/31/2023","862.70","861.40","865.90","848.20","1.21M","0.61%"
"08/29/2023","857.50","873.00","874.20","856.00","1.38M","-1.72%"
"08/28/2023","872.50","870.20","881.60","856.20","1.72M","1.43%"
"08/25/2023","860.20","860.00","873.00","832.00","2.32M","0.08%"
"08/24/2023","859.50","898.00","919.50","859.50","2.56M","-4.29%"
"08/23/2023","898.00","920.10","922.00","898.00","1.29M","-1.74%"
"08/22/2023","913.90","912.20","933.80","898.00","2.06M","0.41%"
"08/21/2023","910.20","888.00","921.70","876.50","1.75M","1.96%"
"08/18/2023","892.70","914.90","916.20","880.70","1.34M","-2.38%"
"08/17/2023","914.50","907.20","921.20","899.40","1.52M","1.05%"
"08/16/2023","905.00","914.00","925.80","901.40","1.81M","-0.36%"
"08/15/2023","908.30","927.00","932.00","895.40","1.67M","-1.91%"
"08/14/2023","926.00","950.00","953.00","925.80","1.63M","-2.34%"
"08/11/2023","948.20","928.00","949.90","922.70","1.57M","2.24%"
"08/10/2023","927.40","968.10","969.10","926.10","1.97M","-3.45%"
"08/09/2023","960.50","944.00","964.00","935.20","1.76M","1.77%"
"08/08/2023","943.80","956.80","966.90","940.00","1.40M","-1.33%"
"08/07/2023","956.50","956.60","969.40","949.20","1.37M","0.05%"
"08/04/2023","956.00","949.00","965.40","939.50","1.48M","0.96%"
"08/03/2023","946.90","964.00","971.50","944.50","1.56M","-1.75%"
"08/02/2023","963.80","948.00","977.60","947.10","1.91M","1.83%"
"08/01/2023","946.50","949.60","963.20","937.30","1.88M","-0.33%"
"07/31/2023","949.60","958.20","987.80","949.30","3.35M","-0.77%"
"07/28/2023","957.00","950.00","982.00","936.90","3.13M","-0.83%"
"07/27/2023","965.00","950.00","966.50","935.60","1.89M","4.29%"
"07/26/2023","925.30","885.00","928.70","884.90","1.86M","4.74%"
"07/25/2023","883.40","901.20","906.00","877.00","1.93M","-1.84%"
"07/24/2023","900.00","927.80","928.50","890.60","2.03M","-1.75%"
"07/21/2023","916.00","885.00","942.90","874.60","3.41M","4.33%"
"07/20/2023","878.00","841.00","883.30","830.10","2.62M","5.15%"
"07/19/2023","835.00","801.90","838.30","799.50","2.30M","4.38%"
"07/18/2023","800.00","822.20","829.60","800.00","2.03M","-2.46%"
"07/17/2023","820.20","832.90","835.00","817.90","1.62M","-0.97%"
"07/14/2023","828.20","806.90","832.80","800.00","1.88M","3.05%"
"07/13/2023","803.70","817.50","819.90","798.00","1.61M","-1.75%"
"07/12/2023","818.00","834.00","834.70","808.40","1.72M","-1.93%"
"07/11/2023","834.10","838.00","839.30","818.00","1.47M","1.08%"
"07/10/2023","825.20","845.00","850.40","824.10","1.62M","-1.88%"
"07/07/2023","841.00","837.70","859.00","824.70","1.77M","0.39%"
"07/06/2023","837.70","803.00","843.10","796.00","2.29M","4.32%"
"07/05/2023","803.00","765.00","803.50","763.00","2.85M","5.55%"
"07/04/2023","760.80","775.50","779.90","760.40","1.58M","-1.84%"
"07/03/2023","775.10","770.00","792.90","769.90","1.68M","1.85%"
"06/27/2023","761.00","765.20","777.00","761.00","752.14K","-0.52%"
"06/26/2023","765.00","757.90","781.40","746.60","1.87M","1.53%"
"06/23/2023","753.50","743.00","755.10","734.70","2.18M","2.94%"
"06/22/2023","732.00","686.30","732.20","672.50","3.44M","7.44%"
"06/21/2023","681.30","667.10","695.00","666.00","2.17M","2.24%"
"06/20/2023","666.40","657.00","672.60","651.40","1.15M","1.43%"
"06/19/2023","657.00","681.00","682.20","655.00","1.39M","-2.55%"
"06/16/2023","674.20","686.20","688.70","669.00","1.19M","-1.58%"
"06/15/2023","685.00","655.00","685.70","655.00","2.03M","5.45%"
"06/14/2023","649.60","668.30","677.90","649.60","1.56M","-2.70%"
"06/13/2023","667.60","686.70","687.80","657.70","1.89M","-2.78%"
"06/12/2023","686.70","695.50","700.00","685.50","1.63M","-0.81%"
"06/09/2023","692.30","699.00","702.20","689.50","1.97M","-0.07%"
"06/08/2023","692.80","689.40","696.60","677.30","1.76M","0.84%"
"06/07/2023","687.00","683.00","707.00","683.00","2.32M","3.62%"
"06/06/2023","663.00","632.10","676.30","627.40","3.31M","4.87%"
"06/05/2023","632.20","613.40","639.30","607.00","1.96M","5.31%"
"06/02/2023","600.30","595.70","603.00","593.00","1.36M","2.39%"
"06/01/2023","586.30","575.00","594.40","575.00","1.19M","2.29%"
"05/31/2023","573.20","575.40","583.00","562.00","1.83M","0.33%"
"05/30/2023","571.30","566.60","583.20","564.80","1.68M","2.57%"
"05/29/2023","557.00","535.50","563.50","535.50","1.53M","4.70%"
"05/26/2023","532.00","511.50","535.10","511.00","1.10M","4.13%"
"05/25/2023","510.90","521.20","526.20","510.90","866.44K","-1.66%"
"05/24/2023","519.50","525.00","532.20","518.30","969.47K","-1.05%"
"05/23/2023","525.00","535.00","537.70","524.40","713.04K","-1.91%"
"05/22/2023","535.20","542.30","545.90","523.70","1.04M","-0.91%"
"05/18/2023","540.10","552.00","567.70","539.70","1.72M","-2.16%"
"05/17/2023","552.00","547.00","556.50","542.70","1.27M","0.82%"
"05/16/2023","547.50","519.40","550.40","518.70","1.88M","5.41%"
"05/15/2023","519.40","530.00","557.60","515.50","1.39M","-7.46%"
"05/12/2023","561.30","577.10","589.80","557.00","1.88M","-2.45%"
