"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","142.70","143.20","144.60","141.40","45.08M","1.13%"
"08/31/2023","141.10","143.00","145.60","141.10","48.24M","-0.77%"
"08/29/2023","142.20","146.00","147.90","140.80","55.03M","-3.13%"
"08/28/2023","146.80","135.70","146.80","135.70","68.56M","9.96%"
"08/25/2023","133.50","127.50","133.80","124.00","52.47M","5.12%"
"08/24/2023","127.00","130.70","135.50","125.90","69.07M","-1.93%"
"08/23/2023","129.50","139.80","139.90","129.00","76.48M","-6.83%"
"08/22/2023","139.00","140.60","149.50","139.00","95.81M","-0.50%"
"08/21/2023","139.70","127.40","139.70","127.40","80.57M","10.00%"
"08/18/2023","127.00","125.40","133.00","124.50","95.84M","3.25%"
"08/17/2023","123.00","119.20","123.30","118.20","50.37M","3.19%"
"08/16/2023","119.20","114.40","121.30","113.40","72.19M","4.20%"
"08/15/2023","114.40","115.00","115.80","111.90","39.73M","-0.52%"
"08/14/2023","115.00","111.50","116.50","111.50","58.65M","3.60%"
"08/11/2023","111.00","104.90","111.30","102.90","51.20M","5.92%"
"08/10/2023","104.80","107.00","109.30","103.60","52.38M","-2.06%"
"08/09/2023","107.00","102.10","107.40","101.00","53.73M","5.11%"
"08/08/2023","101.80","104.60","104.70","101.30","23.35M","-2.21%"
"08/07/2023","104.10","104.10","106.50","103.50","32.82M","0.39%"
"08/04/2023","103.70","99.90","104.20","98.75","39.05M","4.22%"
"08/03/2023","99.50","102.10","102.90","99.15","28.62M","-2.26%"
"08/02/2023","101.80","101.30","103.10","101.20","26.42M","0.49%"
"08/01/2023","101.30","103.50","104.20","100.60","40.85M","-2.03%"
"07/31/2023","103.40","100.00","104.70","100.00","43.99M","4.55%"
"07/28/2023","98.90","97.30","99.50","96.50","44.50M","2.43%"
"07/27/2023","96.55","94.20","96.55","93.80","52.21M","3.48%"
"07/26/2023","93.30","93.80","94.30","91.80","41.48M","-0.16%"
"07/25/2023","93.45","92.00","94.30","91.50","59.73M","1.74%"
"07/24/2023","91.85","92.15","94.75","90.80","60.37M","0.49%"
"07/21/2023","91.40","91.50","93.20","90.25","51.29M","0.44%"
"07/20/2023","91.00","90.00","91.00","88.60","41.04M","1.73%"
"07/19/2023","89.45","86.50","89.45","85.00","23.65M","3.41%"
"07/18/2023","86.50","90.10","90.55","86.35","29.88M","-4.00%"
"07/17/2023","90.10","89.50","91.55","89.40","32.76M","1.69%"
"07/14/2023","88.60","89.60","89.85","87.40","27.11M","-0.51%"
"07/13/2023","89.05","90.40","92.10","88.80","38.67M","-1.71%"
"07/12/2023","90.60","90.75","91.25","89.50","27.08M","-0.06%"
"07/11/2023","90.65","91.30","92.05","89.25","29.80M","0.11%"
"07/10/2023","90.55","91.50","93.60","89.60","36.85M","-0.28%"
"07/07/2023","90.80","88.05","91.30","87.65","40.85M","3.12%"
"07/06/2023","88.05","84.70","88.85","84.70","54.87M","4.02%"
"07/05/2023","84.65","84.00","85.30","81.60","43.07M","0.77%"
"07/04/2023","84.00","85.45","85.70","83.50","32.42M","-1.18%"
"07/03/2023","85.00","80.60","85.30","80.60","51.18M","7.19%"
"06/27/2023","79.30","79.15","79.65","78.70","10.09M","0.38%"
"06/26/2023","79.00","77.90","79.95","77.70","36.87M","2.93%"
"06/23/2023","76.75","75.70","77.15","75.10","32.46M","2.13%"
"06/22/2023","75.15","72.35","75.50","71.60","38.45M","3.87%"
"06/21/2023","72.35","73.30","74.30","71.85","20.62M","-0.89%"
"06/20/2023","73.00","71.80","74.15","71.40","25.85M","1.53%"
"06/19/2023","71.90","73.05","74.20","71.80","25.30M","-1.57%"
"06/16/2023","73.05","74.65","75.80","73.05","24.60M","-1.81%"
"06/15/2023","74.40","72.65","74.40","72.20","24.29M","3.33%"
"06/14/2023","72.00","74.00","75.00","71.60","24.68M","-2.70%"
"06/13/2023","74.00","77.50","77.75","73.65","27.85M","-4.15%"
"06/12/2023","77.20","78.10","79.10","76.95","32.63M","-0.39%"
"06/09/2023","77.50","78.00","78.40","76.55","27.76M","-0.19%"
"06/08/2023","77.65","77.35","78.70","75.70","34.93M","0.26%"
"06/07/2023","77.45","75.00","78.40","74.75","47.03M","5.66%"
"06/06/2023","73.30","73.25","74.25","71.85","33.64M","0.27%"
"06/05/2023","73.10","71.00","74.30","70.55","47.68M","4.95%"
"06/02/2023","69.65","69.40","70.10","68.35","27.15M","2.96%"
"06/01/2023","67.65","67.70","68.75","67.35","17.74M","0.97%"
"05/31/2023","67.00","69.70","70.30","67.00","31.13M","-3.60%"
"05/30/2023","69.50","69.10","70.65","68.90","28.20M","1.91%"
"05/29/2023","68.20","66.45","69.30","66.05","21.29M","3.81%"
"05/26/2023","65.70","64.05","66.30","63.50","18.08M","2.82%"
"05/25/2023","63.90","64.50","65.00","63.60","11.46M","-0.78%"
"05/24/2023","64.40","65.80","66.65","63.95","13.36M","-1.83%"
"05/23/2023","65.60","64.00","65.70","63.20","16.37M","2.50%"
"05/22/2023","64.00","65.80","66.00","63.30","17.27M","-2.36%"
"05/18/2023","65.55","68.10","68.45","65.10","14.91M","-3.74%"
"05/17/2023","68.10","66.70","68.70","66.45","21.79M","2.25%"
"05/16/2023","66.60","64.30","66.60","64.20","24.04M","3.74%"
"05/15/2023","64.20","65.00","69.05","63.90","34.86M","-9.58%"
"05/12/2023","71.00","71.75","75.20","69.70","44.79M","-0.70%"
"05/11/2023","71.50","64.90","71.50","64.85","54.58M","10.00%"
"05/10/2023","65.00","65.30","66.45","64.70","19.60M","-0.31%"
"05/09/2023","65.20","66.75","67.40","64.80","22.39M","-2.32%"
"05/08/2023","66.75","65.15","67.55","64.10","19.43M","2.85%"
"05/05/2023","64.90","66.90","67.25","63.95","19.56M","-2.77%"
"05/04/2023","66.75","68.70","70.25","66.00","32.16M","-3.26%"
"05/03/2023","69.00","65.25","69.00","64.25","38.03M","5.59%"
"05/02/2023","65.35","66.40","67.75","64.80","24.24M","-1.43%"
"04/28/2023","66.30","69.95","70.95","65.50","24.59M","-4.26%"
"04/27/2023","69.25","69.40","70.20","68.70","17.67M","-0.22%"
"04/26/2023","69.40","71.45","72.95","68.75","21.73M","-3.61%"
"04/25/2023","72.00","73.60","74.05","71.50","14.43M","-2.11%"
"04/24/2023","73.55","74.35","75.05","72.75","14.29M","-0.47%"
"04/20/2023","73.90","75.30","75.30","73.75","5.58M","-1.92%"
"04/19/2023","75.35","73.55","75.80","73.50","18.71M","2.59%"
"04/18/2023","73.45","74.65","75.85","73.20","16.76M","-1.48%"
"04/17/2023","74.55","76.70","76.85","74.35","16.17M","-2.55%"
"04/14/2023","76.50","77.80","78.65","76.50","13.49M","-1.54%"
"04/13/2023","77.70","78.20","79.15","77.70","17.67M","-0.51%"
"04/12/2023","78.10","78.30","79.10","78.10","16.92M","-0.26%"
"04/11/2023","78.30","79.20","80.00","77.55","18.01M","-0.63%"
"04/10/2023","78.80","77.00","78.95","77.00","16.04M","2.67%"
"04/07/2023","76.75","77.65","78.50","76.50","18.28M","-1.10%"
"04/06/2023","77.60","79.45","80.35","77.20","24.19M","-2.33%"
"04/05/2023","79.45","82.20","83.85","79.25","26.69M","-3.17%"
"04/04/2023","82.05","79.50","84.15","79.40","35.90M","1.76%"
"04/03/2023","80.63","77.50","81.33","76.21","50.74M","6.47%"
"03/31/2023","75.73","76.97","78.04","75.40","32.86M","-1.65%"
"03/30/2023","77.00","76.71","78.60","75.86","28.26M","0.47%"
"03/29/2023","76.64","73.21","77.09","72.46","34.13M","4.70%"
"03/28/2023","73.20","75.00","75.60","73.20","28.56M","-2.20%"
"03/27/2023","74.84","76.69","76.93","74.84","16.44M","-1.85%"
"03/24/2023","76.26","78.10","78.57","75.94","20.35M","-2.36%"
"03/23/2023","78.10","78.10","78.77","77.19","18.51M","-0.33%"
"03/22/2023","78.36","76.14","78.64","75.71","26.00M","3.28%"
"03/21/2023","75.87","76.21","77.41","75.07","29.03M","-0.41%"
"03/20/2023","76.19","79.27","79.29","76.00","30.97M","-3.96%"
"03/17/2023","79.33","82.74","83.00","79.33","29.16M","-3.46%"
"03/16/2023","82.17","81.61","82.50","80.14","34.47M","1.46%"
"03/15/2023","80.99","79.43","84.17","79.43","56.48M","2.11%"
"03/14/2023","79.31","82.06","82.30","79.31","25.73M","-3.28%"
"03/13/2023","82.00","83.47","83.90","81.24","25.08M","-1.75%"
"03/10/2023","83.46","85.97","87.01","83.14","33.44M","-1.58%"
"03/09/2023","84.80","85.62","86.22","84.73","28.93M","-0.78%"
"03/08/2023","85.46","85.59","86.11","84.86","31.42M","-0.29%"
"03/07/2023","85.71","83.07","85.86","83.05","50.96M","3.78%"
"03/06/2023","82.60","81.61","84.20","80.83","52.61M","1.95%"
"03/03/2023","81.02","79.97","81.83","78.12","51.84M","1.31%"
"03/02/2023","79.97","79.76","81.36","79.65","27.84M","0.47%"
"03/01/2023","79.60","78.96","80.18","78.96","30.95M","1.13%"
"02/28/2023","78.71","79.98","81.36","78.19","40.04M","-1.15%"
"02/27/2023","79.62","79.57","79.99","77.00","39.99M","0.07%"
"02/24/2023","79.57","77.90","80.06","77.63","45.43M","2.23%"
"02/23/2023","77.83","78.03","79.28","77.22","27.23M","-0.09%"
"02/22/2023","77.90","80.09","80.34","77.76","33.44M","-2.81%"
"02/21/2023","80.15","81.47","82.26","80.15","42.24M","-2.00%"
"02/20/2023","81.79","82.82","83.54","80.79","40.04M","-1.23%"
"02/17/2023","82.81","82.28","84.41","81.22","45.57M","-1.02%"
"02/16/2023","83.66","83.91","83.91","81.28","76.33M","9.65%"
"02/15/2023","76.29","76.29","76.29","76.29","4.08M","9.99%"
"02/07/2023","69.36","76.52","76.52","69.15","43.69M","-9.71%"
"02/06/2023","76.82","76.97","79.22","74.18","14.83M","-3.36%"
"02/03/2023","79.49","73.39","79.56","73.03","49.81M","8.57%"
"02/02/2023","73.21","74.71","76.89","68.22","98.56M","-1.95%"
"02/01/2023","74.67","78.71","79.81","74.67","51.91M","-4.85%"
"01/31/2023","78.48","80.06","81.15","78.16","62.12M","-2.13%"
"01/30/2023","80.19","84.24","84.86","80.17","52.88M","-4.79%"
"01/27/2023","84.23","81.22","84.52","79.61","90.85M","3.17%"
"01/26/2023","81.64","83.36","83.40","81.35","39.35M","-1.88%"
"01/25/2023","83.21","83.60","84.12","79.70","75.85M","0.79%"
"01/24/2023","82.56","81.15","83.15","80.42","68.27M","2.07%"
"01/23/2023","80.88","79.76","83.34","79.76","63.34M","2.32%"
"01/20/2023","79.05","77.90","79.82","77.66","42.36M","1.99%"
